team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Flamengo,1440.0,160.7,1.29,1.3,1.4,0.98,0.31000000000000005,87.468671679198,88.47117794486216,74.43609022556392
Udinese,4580.0,155.88,0.45,1.15,1.28,1.36,-0.9100000000000001,87.21804511278195,82.95739348370927,31.82957393483709
Viktoria Plzen,217.78,29.18,2.5,1.92,1.48,1.33,1.17,86.96741854636592,79.69924812030075,84.9624060150376
Malmo FF,229.08,31.35,1.96,1.67,0.85,0.78,1.18,86.71679197994987,89.97493734335839,87.71929824561403
Leeds United,10410.0,206.3,1.48,1.53,0.98,0.96,0.52,86.46616541353383,90.47619047619048,91.97994987468672
Vancouver Whitecaps,1270.0,38.9,1.47,1.58,1.2,1.28,0.18999999999999995,86.21553884711778,58.89724310776943,66.9172932330827
Grêmio,1440.0,57.75,1.35,1.31,1.49,1.25,0.10000000000000009,85.96491228070175,80.95238095238095,53.383458646616546
IF Elfsborg,229.08,17.85,1.83,1.73,0.92,0.77,1.06,85.71428571428571,87.71929824561403,85.96491228070175
Velez Sarsfield,797.41,44.05,0.89,0.85,0.97,0.94,-0.04999999999999993,85.46365914786968,66.16541353383458,44.86215538847117
Cerezo Osaka,254.5,15.0,1.16,1.14,1.2,0.92,0.23999999999999988,85.21303258145363,60.150375939849624,52.63157894736842
Osasuna,4660.0,116.6,0.99,1.21,1.49,1.25,-0.26,84.9624060150376,53.383458646616546,56.89223057644111
Basel,280.76,34.05,1.31,1.58,1.51,1.29,0.020000000000000018,84.71177944862156,60.6516290726817,45.86466165413533
Hatayspor,1190.0,21.38,1.59,1.23,1.04,1.1,0.49,84.46115288220551,93.734335839599,72.18045112781954
Bolton,224.44,9.93,1.54,1.36,1.25,1.18,0.3600000000000001,84.21052631578947,52.130325814536334,59.14786967418546
KAA Gent,832.45,79.65,1.29,1.53,1.13,0.97,0.32000000000000006,83.95989974937343,78.44611528822055,73.68421052631578
Sampdoria,4580.0,32.78,0.89,1.5,1.18,1.16,-0.2699999999999999,83.70927318295739,69.17293233082707,59.64912280701754
Girona FC,4660.0,161.1,2.1,1.62,1.41,1.14,0.9600000000000002,83.45864661654136,85.96491228070175,90.72681704260651
Bastia,339.0,432.6,0.9,0.97,1.51,1.4,-0.4999999999999999,83.20802005012531,84.71177944862156,57.89473684210527
Mansfield Town,101.25,4.53,1.45,1.64,0.93,0.69,0.76,82.95739348370927,90.72681704260651,80.20050125313283
Colchester United,101.25,4.43,1.21,1.59,1.7,1.81,-0.6000000000000001,82.70676691729322,38.59649122807017,11.278195488721805
Sevilla FC,4660.0,187.1,1.37,1.25,1.25,1.27,0.10000000000000009,82.45614035087719,82.20551378446115,79.69924812030075
FC St. Pauli,382.35,19.45,1.82,1.6,0.91,0.73,1.09,82.20551378446115,57.14285714285714,85.71428571428571
Sagan Tosu,254.5,10.6,1.18,1.0,1.58,1.21,-0.030000000000000027,81.95488721804512,16.791979949874687,22.55639097744361
Monza,4580.0,103.0,0.81,1.44,1.4,0.81,0.0,81.70426065162907,72.93233082706767,71.67919799498746
Cremonese,4580.0,40.73,1.09,1.64,0.84,1.0,0.09000000000000008,81.45363408521304,89.72431077694235,79.9498746867168
New York City FC,1270.0,49.5,0.93,1.21,1.06,1.04,-0.10999999999999999,81.203007518797,73.68421052631578,50.877192982456144
Tromso,213.21,10.15,1.44,1.31,1.22,1.03,0.4099999999999999,80.95238095238095,70.17543859649122,61.904761904761905
Swindon Town,101.25,3.58,2.13,1.49,1.4,1.37,0.7599999999999998,80.7017543859649,84.9624060150376,72.93233082706767
TSG Hoffenheim,3970.0,151.2,1.87,1.56,1.78,1.54,0.33000000000000007,80.45112781954887,73.93483709273183,77.69423558897243
Eintracht Braunschweig,382.35,13.83,0.54,1.24,1.32,1.62,-1.08,80.20050125313283,63.1578947368421,6.516290726817042
FC Lugano,280.76,24.16,1.52,1.46,1.26,1.21,0.31000000000000005,79.9498746867168,73.43358395989975,61.40350877192983
Arminia Bielefeld,382.35,6.55,1.37,1.49,1.07,1.59,-0.21999999999999997,79.69924812030075,86.71679197994987,38.59649122807017
Hannover 96,382.35,25.68,1.94,1.58,1.35,1.06,0.8799999999999999,79.4486215538847,72.68170426065163,79.4486215538847
Necaxa,824.85,27.8,0.95,0.94,1.41,1.47,-0.52,79.19799498746866,31.32832080200501,14.035087719298245
Alavés,476.9,52.2,0.7,1.14,1.17,1.23,-0.53,78.94736842105263,68.92230576441104,19.548872180451127
